曲名,アーティスト名,正規化曲名,正規化アーティスト,曲キー,ジャンル,キー,歌唱回数,最初に歌った日,最後に歌った日,英語タイトル,備考
波に名前をつけること、僕らの呼吸に終わりがあること。,キタニタツヤ,波に名前をつけること、僕らの呼吸に終わりがあること。,キタニタツヤ,波に名前をつけること、僕らの呼吸に終わりがあること。 / キタニタツヤ,,,13,2022/02/20,2026/02/12,"Nami ni Namae o Tsukeru Koto, Bokura no Kokyuu ni Owari ga Aru Koto.",
青のすみか,キタニタツヤ,青のすみか,キタニタツヤ,青のすみか / キタニタツヤ,,,11,2023/08/29,2026/04/27,Ao no sumika,
ヒビカセ,ギガP,ヒビカセ,ギガP,ヒビカセ / ギガP,,,13,2021/06/25,2026/03/28,Hibikase,
劣等上等,ギガP,劣等上等,ギガP,劣等上等 / ギガP,,,10,2021/07/17,2025/10/31,Rettou joutou,
ジングルベル,クリスマスソング,ジングルベル,クリスマスソング,ジングルベル / クリスマスソング,,,2,2022/12/18,2025/12/23,Jingle Bells,
おやすみ泣き声、さよなら歌姫,クリープハイプ,おやすみ泣き声、さよなら歌姫,クリープハイプ,おやすみ泣き声、さよなら歌姫 / クリープハイプ,,,15,2025/12/06,2026/04/20,"Goodnight Cries, Good-bye Singing Princess",
栞,クリープハイプ,栞,クリープハイプ,栞 / クリープハイプ,,,3,2026/03/30,2026/04/25,Shiori,
Catch You Catch Me,グミ,Catch You Catch Me,グミ,Catch You Catch Me / グミ,,,19,2022/09/30,2025/07/18,,
スターラブレイション,ケラケラ,スターラブレイション,ケラケラ,スターラブレイション / ケラケラ,,,4,2024/12/17,2026/03/16,Star Loveration,
桜,コブクロ,桜,コブクロ,桜 / コブクロ,,,1,2022/05/03,2022/05/03,Sakura,
蕾,コブクロ,蕾,コブクロ,蕾 / コブクロ,,,1,2022/02/28,2022/02/28,Tsubomi,
赤い糸,コブクロ,赤い糸,コブクロ,赤い糸 / コブクロ,,,11,2021/10/09,2026/03/12,Akai ito,
あたしを彼女にしたいなら,コレサワ,あたしを彼女にしたいなら,コレサワ,あたしを彼女にしたいなら / コレサワ,,,2,2024/11/09,2024/11/22,Atashi wo Kanojo ni Shitai Nara,
たばこ,コレサワ,たばこ,コレサワ,たばこ / コレサワ,,,43,2021/07/11,2026/04/02,Tobacco,
元彼女のみなさまへ,コレサワ,元彼女のみなさまへ,コレサワ,元彼女のみなさまへ / コレサワ,,,5,2025/05/20,2025/07/27,Dear ex girlfriends,
恋人失格,コレサワ,恋人失格,コレサワ,恋人失格 / コレサワ,,,10,2022/04/12,2026/01/31,Koibito Shikkaku,
浮気したらあかんで,コレサワ,浮気したらあかんで,コレサワ,浮気したらあかんで / コレサワ,,,7,2025/11/18,2026/04/04,Uwaki shitara akande,
怪獣,サカナクション,怪獣,サカナクション,怪獣 / サカナクション,,,15,2025/04/10,2026/03/12,Kaiju,
青いベンチ,サスケ,青いベンチ,サスケ,青いベンチ / サスケ,,,22,2021/09/06,2025/11/30,Aoi bench,
ビリーヴ,シェネル,ビリーヴ,シェネル,ビリーヴ / シェネル,,,3,2024/06/11,2026/03/24,Believe,
ダイアモンド クレバス,シェリル・ノーム starring May'n,ダイアモンド クレバス,シェリル・ノーム starring May'n,ダイアモンド クレバス / シェリル・ノーム starring May'n,,,14,2022/09/15,2025/10/02,Diamond Crevasse,
ノーザンクロス,シェリル・ノーム starring May'n,ノーザンクロス,シェリル・ノーム starring May'n,ノーザンクロス / シェリル・ノーム starring May'n,,,17,2021/12/18,2025/11/10,Northern Cross,
射手座☆午後九時Don't be late,シェリル・ノーム starring May'n,射手座☆午後九時Don't be late,シェリル・ノーム starring May'n,射手座☆午後九時Don't be late / シェリル・ノーム starring May'n,,,4,2022/12/17,2025/12/29,Sagittarius☆9pm Don't be late,
シカ色デイズ,シカ部,シカ色デイズ,シカ部,シカ色デイズ / シカ部,,,3,2024/07/20,2025/06/30,Shikairo Days,
サンドリヨン,シグナルP,サンドリヨン,シグナルP,サンドリヨン / シグナルP,,,16,2021/08/21,2026/03/09,Cendrillon,
レイン,シド,レイン,シド,レイン / シド,,,23,2022/11/26,2026/03/08,Rain,
乱舞のメロディ,シド,乱舞のメロディ,シド,乱舞のメロディ / シド,,,32,2021/09/20,2026/04/27,Ranbu no Melody,
嘘,シド,嘘,シド,嘘 / シド,,,41,2021/06/11,2026/04/20,Uso,
Calc.,ジミーサムP,Calc.,ジミーサムP,Calc. / ジミーサムP,,,26,2021/06/18,2025/11/18,,
No Logic,ジミーサムP,No Logic,ジミーサムP,No Logic / ジミーサムP,,,13,2023/04/24,2025/10/29,,
from Y to Y,ジミーサムP,from Y to Y,ジミーサムP,from Y to Y / ジミーサムP,,,30,2021/08/10,2026/03/05,,
ゴールデンタイムラバー,スキマスイッチ,ゴールデンタイムラバー,スキマスイッチ,ゴールデンタイムラバー / スキマスイッチ,,,13,2021/12/18,2026/04/17,Golden Time Lover,
全力少年,スキマスイッチ,全力少年,スキマスイッチ,全力少年 / スキマスイッチ,,,5,2022/01/23,2026/02/27,Zenryoku syounen,
奏,スキマスイッチ,奏,スキマスイッチ,奏 / スキマスイッチ,,,34,2021/09/15,2025/07/23,Kanade,
雫,スキマスイッチ,雫,スキマスイッチ,雫 / スキマスイッチ,,,15,2021/09/04,2026/04/17,Shizuku,
愛のうた～ピクミンのテーマ,ストロベリー・フラワー,愛のうた～ピクミンのテーマ,ストロベリー・フラワー,愛のうた～ピクミンのテーマ / ストロベリー・フラワー,,,15,2022/11/08,2026/04/27,Ai no uta,
チェリー,スピッツ,チェリー,スピッツ,チェリー / スピッツ,,,6,2023/03/12,2026/03/19,Cherry,
楓,スピッツ,楓,スピッツ,楓 / スピッツ,,,10,2022/11/09,2026/02/06,Kaede,
Arrietty's Song,セシル・コルベル,Arrietty's Song,セシル・コルベル,Arrietty's Song / セシル・コルベル,,,23,2021/12/27,2026/04/28,,
Los! Los! Los!,ターニャ・デグレチャフ(悠木碧),Los! Los! Los!,ターニャ・デグレチャフ(悠木碧),Los! Los! Los! / ターニャ・デグレチャフ(悠木碧),,,31,2021/07/17,2026/03/23,,
貴方の恋人になりたい,チョーキューメイ,貴方の恋人になりたい,チョーキューメイ,貴方の恋人になりたい / チョーキューメイ,,,12,2023/11/15,2025/10/07,Anata no koibito ni naritai,
アノニマスファンフアレ,ツミキ,アノニマスファンフアレ,ツミキ,アノニマスファンフアレ / ツミキ,,,2,2021/07/17,2021/07/31,Anonymous Fanfare,
アングレイデイズ,ツミキ,アングレイデイズ,ツミキ,アングレイデイズ / ツミキ,,,1,2021/08/02,2021/08/02,Ungray Days,
フォニイ,ツミキ,フォニイ,ツミキ,フォニイ / ツミキ,,,67,2021/07/11,2025/11/03,phony,
リコレクションエンドロウル,ツミキ,リコレクションエンドロウル,ツミキ,リコレクションエンドロウル / ツミキ,,,7,2022/02/20,2023/06/03,Recollection Endroll,
くらべられっ子,ツユ,くらべられっ子,ツユ,くらべられっ子 / ツユ,,,1,2021/10/03,2021/10/03,Kuraberarekko,
ホール・ニュー・ワールド,ディズニー,ホール・ニュー・ワールド,ディズニー,ホール・ニュー・ワールド / ディズニー,,,4,2022/02/28,2023/05/21,a whole new world,
アンダー・ザ・シー,ディズニー(リトル・マーメイド),アンダー・ザ・シー,ディズニー(リトル・マーメイド),アンダー・ザ・シー / ディズニー(リトル・マーメイド),,,5,2021/09/08,2023/06/12,Under the sea,
パート・オブ・ユア・ワールド,ディズニー(リトル・マーメイド),パート・オブ・ユア・ワールド,ディズニー(リトル・マーメイド),パート・オブ・ユア・ワールド / ディズニー(リトル・マーメイド),,,1,2022/03/23,2022/03/23,Part of Your World,
エンヴィキャットウォーク,トーマ,エンヴィキャットウォーク,トーマ,エンヴィキャットウォーク / トーマ,,,8,2023/06/30,2026/03/09,Envy Catwalk,
アンパンマンのマーチ,ドリーミング,アンパンマンのマーチ,ドリーミング,アンパンマンのマーチ / ドリーミング,,,6,2021/09/24,2025/05/12,Anpanman's March,
サンサンたいそう,ドリーミング,サンサンたいそう,ドリーミング,サンサンたいそう / ドリーミング,,,1,2025/05/12,2025/05/12,SUN SUN Exercise,
デリヘル呼んだら君が来た,ナナホシ管弦楽団,デリヘル呼んだら君が来た,ナナホシ管弦楽団,デリヘル呼んだら君が来た / ナナホシ管弦楽団,,,14,2021/07/17,2026/03/16,Deriheru Yondara Kimi ga Kita,
失楽ペトリ,ナナホシ管弦楽団,失楽ペトリ,ナナホシ管弦楽団,失楽ペトリ / ナナホシ管弦楽団,,,21,2021/06/11,2026/01/19,Shitsuraku Petri,
抜錨,ナナホシ管弦楽団,抜錨,ナナホシ管弦楽団,抜錨 / ナナホシ管弦楽団,,,14,2025/05/20,2026/04/13,Batsubyou,
お願いダーリン,ナナホシ管弦楽団 feat. ONE,お願いダーリン,ナナホシ管弦楽団 feat. ONE,お願いダーリン / ナナホシ管弦楽団 feat. ONE,,,2,2021/09/29,2021/11/05,Onegai Darling,
インスタントヘヴン,ナナヲアカリ,インスタントヘヴン,ナナヲアカリ,インスタントヘヴン / ナナヲアカリ,,,15,2021/08/18,2026/01/22,Instant Heaven,
ダダダダ天使,ナナヲアカリ,ダダダダ天使,ナナヲアカリ,ダダダダ天使 / ナナヲアカリ,,,32,2021/06/11,2026/01/22,Dadadada Tenshi,
チューリングラブ,ナナヲアカリ,チューリングラブ,ナナヲアカリ,チューリングラブ / ナナヲアカリ,,,14,2021/07/31,2026/02/09,Turing Love,
完全放棄宣言,ナナヲアカリ,完全放棄宣言,ナナヲアカリ,完全放棄宣言 / ナナヲアカリ,,,6,2025/11/10,2026/03/30,Kanzen houki sengen,
明日の私に幸あれ,ナナヲアカリ,明日の私に幸あれ,ナナヲアカリ,明日の私に幸あれ / ナナヲアカリ,,,6,2026/02/18,2026/04/20,Good luck to me tomorrow,
「ねぇ。」,ナノウ,「ねぇ。」,ナノウ,「ねぇ。」 / ナノウ,,,4,2024/11/14,2026/04/28,「Nee.」,
ハロ／ハワユ,ナノウ,ハロ／ハワユ,ナノウ,ハロ／ハワユ / ナノウ,,,30,2021/07/31,2026/04/28,Hello/How Are You,
エイリアンエイリアン,ナユタン星人,エイリアンエイリアン,ナユタン星人,エイリアンエイリアン / ナユタン星人,,,21,2021/08/12,2026/04/20,Alien Alien,
ダンスロボットダンス,ナユタン星人,ダンスロボットダンス,ナユタン星人,ダンスロボットダンス / ナユタン星人,,,6,2021/10/03,2023/02/09,Dance Robot Dance,
太陽系デスコ,ナユタン星人,太陽系デスコ,ナユタン星人,太陽系デスコ / ナユタン星人,,,15,2021/10/08,2026/01/22,Solar System Disco,
彗星ハネムーン,ナユタン星人,彗星ハネムーン,ナユタン星人,彗星ハネムーン / ナユタン星人,,,3,2022/04/10,2023/02/04,Suisei Honeymoon,
猫猫的宇宙論,ナユタン星人,猫猫的宇宙論,ナユタン星人,猫猫的宇宙論 / ナユタン星人,,,9,2021/08/29,2025/09/13,Cosmology of NyanNyan,
Mrs.Pumpkinの滑稽な夢,ハチ,Mrs.Pumpkinの滑稽な夢,ハチ,Mrs.Pumpkinの滑稽な夢 / ハチ,,,9,2021/06/18,2025/11/17,Mrs. Pumpkin no Kokkei na Yume,
clock lock works,ハチ,clock lock works,ハチ,clock lock works / ハチ,,,12,2021/09/22,2026/03/29,,
ドーナツホール,ハチ,ドーナツホール,ハチ,ドーナツホール / ハチ,,,3,2021/09/22,2024/09/16,Donut Hole,
パンダヒーロー,ハチ,パンダヒーロー,ハチ,パンダヒーロー / ハチ,,,8,2021/09/22,2025/08/21,Panda Hero,
マトリョシカ,ハチ,マトリョシカ,ハチ,マトリョシカ / ハチ,,,19,2021/09/22,2025/12/22,Matryoshka,
リンネ,ハチ,リンネ,ハチ,リンネ / ハチ,,,3,2021/09/22,2022/06/25,Rinne,
ワンダーランドと羊の歌,ハチ,ワンダーランドと羊の歌,ハチ,ワンダーランドと羊の歌 / ハチ,,,5,2022/12/10,2025/11/17,Wonderland to Hitsuji no Uta,
砂の惑星,ハチ,砂の惑星,ハチ,砂の惑星 / ハチ,,,7,2021/06/18,2025/11/17,Suna no Wakusei,
結ンデ開イテ羅刹ト骸,ハチ,結ンデ開イテ羅刹ト骸,ハチ,結ンデ開イテ羅刹ト骸 / ハチ,,,4,2021/09/22,2024/07/06,Musunde Hiraite Rasetsu to Mukuro,
ハム太郎とっとこうた,ハムちゃんず,ハム太郎とっとこうた,ハムちゃんず,ハム太郎とっとこうた / ハムちゃんず,,,21,2021/07/11,2025/09/25,Hamtaro tottoko uta,
シャルル,バルーン,シャルル,バルーン,シャルル / バルーン,,,30,2021/06/18,2026/04/20,Charles,
メーベル,バルーン,メーベル,バルーン,メーベル / バルーン,,,18,2021/06/18,2025/11/15,Mabel,
レディーレ,バルーン,レディーレ,バルーン,レディーレ / バルーン,,,4,2021/06/18,2025/05/27,Redire,
朝を呑む,バルーン,朝を呑む,バルーン,朝を呑む / バルーン,,,2,2021/10/08,2025/09/13,Asa o Nomu,
花瓶に触れた,バルーン,花瓶に触れた,バルーン,花瓶に触れた / バルーン,,,11,2021/06/18,2025/09/07,Kabin ni fureta,
悪魔の子,ヒグチアイ,悪魔の子,ヒグチアイ,悪魔の子 / ヒグチアイ,,,42,2022/05/06,2026/02/06,Akuma no ko,
ピカチュウのうた,ピカチュウ(大谷育江),ピカチュウのうた,ピカチュウ(大谷育江),ピカチュウのうた / ピカチュウ(大谷育江),,,1,2024/12/17,2024/12/17,Pikachu no uta,
ガランド,ピコン,ガランド,ピコン,ガランド / ピコン,,,8,2021/06/18,2026/02/18,Garando,
君の脈で踊りたかった,ピコン,君の脈で踊りたかった,ピコン,君の脈で踊りたかった / ピコン,,,11,2021/12/18,2026/02/18,I wanted to dance in your pulse,
神っぽいな,ピノキオピー,神っぽいな,ピノキオピー,神っぽいな / ピノキオピー,,,39,2021/10/15,2025/08/05,God-ish,
転生林檎,ピノキオピー,転生林檎,ピノキオピー,転生林檎 / ピノキオピー,,,10,2022/07/11,2026/02/06,Tensei ringo,
頓珍漢の宴,ピノキオピー,頓珍漢の宴,ピノキオピー,頓珍漢の宴 / ピノキオピー,,,1,2023/03/02,2023/03/02,Tonchinkan no Utage,
魔法少女とチョコレゐト,ピノキオピー,魔法少女とチョコレゐト,ピノキオピー,魔法少女とチョコレゐト / ピノキオピー,,,12,2022/08/30,2025/09/20,Mahou Shoujo to Chocolate,
学園天国,フィンガー5,学園天国,フィンガー5,学園天国 / フィンガー5,,,4,2022/03/23,2024/11/22,Gakuen Tengoku,
若者のすべて,フジファブリック,若者のすべて,フジファブリック,若者のすべて / フジファブリック,,,5,2025/12/06,2026/04/25,Wakamono no subete,
コンビニ,ブリーフ&トランクス,コンビニ,ブリーフ&トランクス,コンビニ / ブリーフ&トランクス,,,1,2026/03/16,2026/03/16,Convenience store,
余命3日少女,プロペリン,余命3日少女,プロペリン,余命3日少女 / プロペリン,,,10,2021/11/06,2025/10/02,Yomei Mikka Shoujo,
ルーマー,ポリスピカデリー,ルーマー,ポリスピカデリー,ルーマー / ポリスピカデリー,,,3,2025/07/31,2026/02/18,Rumor,
アゲハ蝶,ポルノグラフィティ,アゲハ蝶,ポルノグラフィティ,アゲハ蝶 / ポルノグラフィティ,,,36,2021/09/10,2026/04/11,Ageha chou,
アポロ,ポルノグラフィティ,アポロ,ポルノグラフィティ,アポロ / ポルノグラフィティ,,,23,2023/10/01,2026/04/13,Apollo,
サウダージ,ポルノグラフィティ,サウダージ,ポルノグラフィティ,サウダージ / ポルノグラフィティ,,,24,2022/03/23,2026/04/11,saudade,
ハネウマライダー,ポルノグラフィティ,ハネウマライダー,ポルノグラフィティ,ハネウマライダー / ポルノグラフィティ,,,3,2023/08/29,2025/09/07,Haneuma Rider,
メリッサ,ポルノグラフィティ,メリッサ,ポルノグラフィティ,メリッサ / ポルノグラフィティ,,,44,2021/10/03,2026/03/28,Melissa,
今宵、月が見えずとも,ポルノグラフィティ,今宵、月が見えずとも,ポルノグラフィティ,今宵、月が見えずとも / ポルノグラフィティ,,,25,2022/03/08,2026/03/28,"Koyoi, Tsuki ga Miezu Tomo",
㋰責任集合体,マサラダ,㋰責任集合体,マサラダ,㋰責任集合体 / マサラダ,,,11,2025/05/20,2026/03/30,Musekinin syugoutai,
エンヴィーベイビー×KING,マッシュアップ,エンヴィーベイビー×KING,マッシュアップ,エンヴィーベイビー×KING / マッシュアップ,,,8,2022/01/04,2024/10/07,Envy Baby×KING,
ヒビカセ×ECHO,マッシュアップ,ヒビカセ×ECHO,マッシュアップ,ヒビカセ×ECHO / マッシュアップ,,,13,2021/06/18,2025/05/20,Hibikase×ECHO,
フィクサー×フラジール,マッシュアップ,フィクサー×フラジール,マッシュアップ,フィクサー×フラジール / マッシュアップ,,,11,2021/08/21,2025/07/28,Fixer×Fragile,
バナナの歌,ミニオンズ,バナナの歌,ミニオンズ,バナナの歌 / ミニオンズ,,,1,2022/08/04,2022/08/04,Barbara ann,
さようなら、花泥棒さん,メル,さようなら、花泥棒さん,メル,さようなら、花泥棒さん / メル,,,30,2021/09/23,2026/03/19,"Sayounara, Hanadoroubou-san",
プラトニック・ラヴ,メル,プラトニック・ラヴ,メル,プラトニック・ラヴ / メル,,,11,2021/11/16,2026/02/12,Platonic love,
翡翠のまち,メル,翡翠のまち,メル,翡翠のまち / メル,,,17,2021/06/18,2026/04/28,Hisui no Machi,
ミルククラウン・オン・ソーネチカ,ユジー,ミルククラウン・オン・ソーネチカ,ユジー,ミルククラウン・オン・ソーネチカ / ユジー,,,6,2023/05/03,2025/10/03,Milk Crown on Sonechka,
だれかの心臓になれたなら,ユリイ・カノン,だれかの心臓になれたなら,ユリイ・カノン,だれかの心臓になれたなら / ユリイ・カノン,,,17,2021/07/24,2025/12/29,Dareka no Shinzou ni Nareta Nara,
ケセラリズム,ユリイ・カノン,ケセラリズム,ユリイ・カノン,ケセラリズム / ユリイ・カノン,,,11,2021/08/27,2025/12/29,Kesera Rhythm,
スーサイドパレヱド,ユリイ・カノン,スーサイドパレヱド,ユリイ・カノン,スーサイドパレヱド / ユリイ・カノン,,,23,2021/07/24,2025/12/29,Suicide Parade,
ヨドバシカメラの歌,ヨドバシカメラ,ヨドバシカメラの歌,ヨドバシカメラ,ヨドバシカメラの歌 / ヨドバシカメラ,,,8,2022/08/30,2026/02/27,Song of Yodobashi Camera,
ただ君に晴れ,ヨルシカ,ただ君に晴れ,ヨルシカ,ただ君に晴れ / ヨルシカ,,,40,2021/07/02,2025/11/18,Tada kimi ni hare,
だから僕は音楽を辞めた,ヨルシカ,だから僕は音楽を辞めた,ヨルシカ,だから僕は音楽を辞めた / ヨルシカ,,,30,2021/09/10,2026/04/17,Dakara boku wa ongaku wo yameta,
アポリア,ヨルシカ,アポリア,ヨルシカ,アポリア / ヨルシカ,,,2,2025/11/11,2026/03/12,aporia,
アルジャーノン,ヨルシカ,アルジャーノン,ヨルシカ,アルジャーノン / ヨルシカ,,,30,2024/03/18,2026/04/17,Algernon,
ノーチラス,ヨルシカ,ノーチラス,ヨルシカ,ノーチラス / ヨルシカ,,,31,2021/08/12,2026/04/23,Nautilus,
パレード,ヨルシカ,パレード,ヨルシカ,パレード / ヨルシカ,,,31,2021/05/28,2026/04/17,Parade,
ヒッチコック,ヨルシカ,ヒッチコック,ヨルシカ,ヒッチコック / ヨルシカ,,,26,2021/08/30,2026/04/02,Hitchcock,
ブレーメン,ヨルシカ,ブレーメン,ヨルシカ,ブレーメン / ヨルシカ,,,1,2022/09/03,2022/09/03,bremen,
又三郎,ヨルシカ,又三郎,ヨルシカ,又三郎 / ヨルシカ,,,18,2021/11/22,2026/04/17,Matasaburou,
嘘月,ヨルシカ,嘘月,ヨルシカ,嘘月 / ヨルシカ,,,16,2022/06/16,2026/04/17,Uso tsuki,
夜行,ヨルシカ,夜行,ヨルシカ,夜行 / ヨルシカ,,,24,2021/08/30,2026/04/17,Yakou,
左右盲,ヨルシカ,左右盲,ヨルシカ,左右盲 / ヨルシカ,,,12,2023/04/03,2025/06/12,Sayuumou,
心に穴が空いた,ヨルシカ,心に穴が空いた,ヨルシカ,心に穴が空いた / ヨルシカ,,,19,2021/05/14,2026/04/17,Kokoro ni ana ga aita,
忘れてください,ヨルシカ,忘れてください,ヨルシカ,忘れてください / ヨルシカ,,,13,2025/01/07,2026/04/17,Wasurete kudasai,
思想犯,ヨルシカ,思想犯,ヨルシカ,思想犯 / ヨルシカ,,,19,2021/09/08,2025/11/11,Shisōhan,
斜陽,ヨルシカ,斜陽,ヨルシカ,斜陽 / ヨルシカ,,,22,2023/06/30,2026/04/17,Syayou,
春ひさぎ,ヨルシカ,春ひさぎ,ヨルシカ,春ひさぎ / ヨルシカ,,,6,2023/04/03,2026/04/17,Haru hisagi,
春泥棒,ヨルシカ,春泥棒,ヨルシカ,春泥棒 / ヨルシカ,,,25,2021/05/14,2026/03/30,Haru dorobou,
晴る,ヨルシカ,晴る,ヨルシカ,晴る / ヨルシカ,,,29,2024/01/15,2026/04/17,Haru,
月に吠える,ヨルシカ,月に吠える,ヨルシカ,月に吠える / ヨルシカ,,,10,2022/06/16,2026/04/17,Tsuki ni hoeru,
準透明少年,ヨルシカ,準透明少年,ヨルシカ,準透明少年 / ヨルシカ,,,4,2022/06/16,2026/04/17,Jun toumei syounen,
盗作,ヨルシカ,盗作,ヨルシカ,盗作 / ヨルシカ,,,14,2021/11/22,2025/11/11,Tousaku,
花に亡霊,ヨルシカ,花に亡霊,ヨルシカ,花に亡霊 / ヨルシカ,,,41,2021/07/24,2026/04/02,Ghost In A Flower,
花人局,ヨルシカ,花人局,ヨルシカ,花人局 / ヨルシカ,,,9,2022/06/16,2026/04/02,Hanamotase,
藍二乗,ヨルシカ,藍二乗,ヨルシカ,藍二乗 / ヨルシカ,,,23,2021/09/23,2026/04/17,Ai Nijou,
言って。,ヨルシカ,言って。,ヨルシカ,言って。 / ヨルシカ,,,21,2021/09/17,2026/02/20,Itte.,
負け犬にアンコールはいらない,ヨルシカ,負け犬にアンコールはいらない,ヨルシカ,負け犬にアンコールはいらない / ヨルシカ,,,7,2025/09/15,2026/04/17,Makeinu ni encore wa iranai,
雨とカプチーノ,ヨルシカ,雨とカプチーノ,ヨルシカ,雨とカプチーノ / ヨルシカ,,,35,2021/05/14,2026/04/17,Ame to Kapuchiino,
雲と幽霊,ヨルシカ,雲と幽霊,ヨルシカ,雲と幽霊 / ヨルシカ,,,5,2025/04/26,2026/02/12,Kumo to Yuurei,
靴の花火,ヨルシカ,靴の花火,ヨルシカ,靴の花火 / ヨルシカ,,,19,2022/04/24,2025/11/11,Kutsu no hanabi,
風を食む,ヨルシカ,風を食む,ヨルシカ,風を食む / ヨルシカ,,,22,2022/06/16,2026/04/17,Kaze wo hamu,
おちゃめ機能,ラマーズP,おちゃめ機能,ラマーズP,おちゃめ機能 / ラマーズP,,,17,2021/09/10,2026/03/09,Ochame Kinou,
からげんき,ラマーズP,からげんき,ラマーズP,からげんき / ラマーズP,,,1,2021/10/16,2021/10/16,Karagenki,
星間飛行,ランカ・リー(中島愛),星間飛行,ランカ・リー(中島愛),星間飛行 / ランカ・リー(中島愛),,,39,2021/07/24,2026/02/09,Seikan Hikou,
蒼のエーテル,ランカ・リー(中島愛),蒼のエーテル,ランカ・リー(中島愛),蒼のエーテル / ランカ・リー(中島愛),,,4,2022/09/12,2023/12/04,Ao no ether,
ホシアイ,レフティモンスター,ホシアイ,レフティモンスター,ホシアイ / レフティモンスター,,,8,2021/06/18,2025/08/05,Hoshi ai,
3月9日,レミオロメン,3月9日,レミオロメン,3月9日 / レミオロメン,,,18,2021/09/06,2026/03/19,Sangatsu Kokonoka,
粉雪,レミオロメン,粉雪,レミオロメン,粉雪 / レミオロメン,,,27,2021/10/09,2026/01/22,Konayuki,
ただ声一つ,ロクデナシ,ただ声一つ,ロクデナシ,ただ声一つ / ロクデナシ,,,25,2023/07/10,2025/06/24,Tada koe hitotsu,
愛が灯る,ロクデナシ,愛が灯る,ロクデナシ,愛が灯る / ロクデナシ,,,7,2025/01/09,2026/02/18,Ai ga tomoru,
心絵,ロードオブメジャー,心絵,ロードオブメジャー,心絵 / ロードオブメジャー,,,13,2022/08/04,2026/03/13,Kokoroe,
AXIA 〜ダイスキでダイキライ〜,ワルキューレ,AXIA 〜ダイスキでダイキライ〜,ワルキューレ,AXIA 〜ダイスキでダイキライ〜 / ワルキューレ,,,16,2022/12/20,2025/12/29,"AXIA ~I Love, I Hate~",
Absolute 5,ワルキューレ,Absolute 5,ワルキューレ,Absolute 5 / ワルキューレ,,,11,2023/12/22,2026/04/27,,
GIRAFFE BLUES,ワルキューレ,GIRAFFE BLUES,ワルキューレ,GIRAFFE BLUES / ワルキューレ,,,19,2022/09/12,2025/11/21,,
いけないボーダーライン,ワルキューレ,いけないボーダーライン,ワルキューレ,いけないボーダーライン / ワルキューレ,,,45,2021/12/18,2026/01/08,Ikenai Borderline,
一度だけの恋なら,ワルキューレ,一度だけの恋なら,ワルキューレ,一度だけの恋なら / ワルキューレ,,,26,2022/04/15,2026/01/08,Ichidodake no koi nara,
僕らの戦場,ワルキューレ,僕らの戦場,ワルキューレ,僕らの戦場 / ワルキューレ,,,17,2022/04/15,2025/10/06,Bokura no Senjou,
破滅の純情,ワルキューレ,破滅の純情,ワルキューレ,破滅の純情 / ワルキューレ,,,20,2022/04/09,2025/10/06,Hametsu no Junjou,
絶対零度θノヴァティック,ワルキューレ,絶対零度θノヴァティック,ワルキューレ,絶対零度θノヴァティック / ワルキューレ,,,1,2026/01/10,2026/01/10,Zettai Reido θ Novatic,
シリウスの心臓,ヰ世界情緒,シリウスの心臓,ヰ世界情緒,シリウスの心臓 / ヰ世界情緒,,,17,2024/07/10,2026/03/24,Sirius no Shinzou,
ハナミズキ,一青窈,ハナミズキ,一青窈,ハナミズキ / 一青窈,,,21,2021/09/11,2026/03/12,Hana Mizuki,
Bad Apple!!,上海アリス幻樂団,Bad Apple!!,上海アリス幻樂団,Bad Apple!! / 上海アリス幻樂団,,,20,2023/03/01,2026/02/06,,
地上の星,中島みゆき,地上の星,中島みゆき,地上の星 / 中島みゆき,,,7,2021/09/04,2025/02/24,Chijou no hoshi,
糸,中島みゆき,糸,中島みゆき,糸 / 中島みゆき,,,28,2021/09/11,2026/03/12,Ito,
銀の龍の背に乗って,中島みゆき,銀の龍の背に乗って,中島みゆき,銀の龍の背に乗って / 中島みゆき,,,18,2023/11/26,2026/04/04,Gin no ryū no se ni notte,
ORION,中島美嘉,ORION,中島美嘉,ORION / 中島美嘉,,,19,2022/02/28,2025/07/22,,
一番綺麗な私を,中島美嘉,一番綺麗な私を,中島美嘉,一番綺麗な私を / 中島美嘉,,,11,2022/03/23,2025/05/31,Ichiban Kirei na Watashi wo,
僕が死のうと思ったのは,中島美嘉,僕が死のうと思ったのは,中島美嘉,僕が死のうと思ったのは / 中島美嘉,,,30,2022/08/07,2026/02/06,Boku ga shinou to omotta nowa,
雪の華,中島美嘉,雪の華,中島美嘉,雪の華 / 中島美嘉,,,28,2021/08/30,2026/02/02,Yuki no hana,
空色デイズ,中川翔子,空色デイズ,中川翔子,空色デイズ / 中川翔子,,,52,2021/09/11,2026/04/20,Sorairo Days,
五等分の気持ち,中野家の五つ子,五等分の気持ち,中野家の五つ子,五等分の気持ち / 中野家の五つ子,,,1,2022/12/23,2022/12/23,Gotoubun no Kimochi,
虹,二宮和也,虹,二宮和也,虹 / 二宮和也,,,3,2022/12/27,2023/06/05,Rainbow,
DANZEN! ふたりはプリキュア,五條真由美,DANZEN! ふたりはプリキュア,五條真由美,DANZEN! ふたりはプリキュア / 五條真由美,,,4,2023/03/22,2026/01/08,Danzen! Futari wa Pretty Cure,
