曲名,アーティスト名,正規化曲名,正規化アーティスト,曲キー,ジャンル,キー,歌唱回数,最初に歌った日,最後に歌った日,英語タイトル,備考
つけまつける,きゃりーぱみゅぱみゅ,つけまつける,きゃりーぱみゅぱみゅ,つけまつける / きゃりーぱみゅぱみゅ,,,1,2021/05/28,2021/05/28,Tsukematsukeru,
キミに100パーセント,きゃりーぱみゅぱみゅ,キミに100パーセント,きゃりーぱみゅぱみゅ,キミに100パーセント / きゃりーぱみゅぱみゅ,,,12,2022/05/21,2026/02/09,kimi ni 100 percent,
金木犀,くじら,金木犀,くじら,金木犀 / くじら,,,2,2021/08/02,2021/10/08,Kinmokusei,
わたしのアール,くらげP,わたしのアール,くらげP,わたしのアール / くらげP,,,21,2021/11/16,2025/12/02,Watashi no R,
悪魔の踊り方,こんにちは谷田さん(キタニタツヤ),悪魔の踊り方,こんにちは谷田さん(キタニタツヤ),悪魔の踊り方 / こんにちは谷田さん(キタニタツヤ),,,2,2021/06/18,2022/03/05,Akuma no Odorikata,
宇宙戦艦ヤマト,ささきいさお,宇宙戦艦ヤマト,ささきいさお,宇宙戦艦ヤマト / ささきいさお,,,1,2026/02/23,2026/02/23,Uchu senkan yamato,
ネトゲ廃人シュプレヒコール,さつき が てんこもり,ネトゲ廃人シュプレヒコール,さつき が てんこもり,ネトゲ廃人シュプレヒコール / さつき が てんこもり,,,14,2021/08/29,2025/09/07,Netoge Haijin Sprechchor,
フラレガイガール,さユり,フラレガイガール,さユり,フラレガイガール / さユり,,,12,2022/02/27,2026/04/28,Furaregai Girl,
ミカヅキ,さユり,ミカヅキ,さユり,ミカヅキ / さユり,,,27,2021/10/29,2026/02/06,Mikazuki,
平行線,さユり,平行線,さユり,平行線 / さユり,,,12,2022/02/28,2025/07/31,heikōsen,
花の塔,さユり,花の塔,さユり,花の塔 / さユり,,,38,2022/09/30,2026/04/17,hana no tou,
六等星,ざらめ,六等星,ざらめ,六等星 / ざらめ,,,3,2025/06/16,2025/09/25,Rokutōsei,
粛聖!! ロリ神レクイエム☆,しぐれうい,粛聖!! ロリ神レクイエム☆,しぐれうい,粛聖!! ロリ神レクイエム☆ / しぐれうい,,,8,2023/10/04,2025/01/04,Syukusei!! Loli kami Requiem,
ギビラっ！,しゅがりり,ギビラっ！,しゅがりり,ギビラっ！ / しゅがりり,,,1,2026/02/16,2026/02/16,give me love!,
アサガオの散る頃に,じっぷす,アサガオの散る頃に,じっぷす,アサガオの散る頃に / じっぷす,,,15,2021/11/06,2025/11/29,Asagao no Chiru Koro ni,
GURU,じん,GURU,じん,GURU / じん,,,18,2022/06/26,2026/03/23,,
アウターサイエンス,じん,アウターサイエンス,じん,アウターサイエンス / じん,,,1,2026/03/09,2026/03/09,Outer Science,
アディショナルメモリー,じん,アディショナルメモリー,じん,アディショナルメモリー / じん,,,4,2021/11/03,2023/08/23,Additional Memory,
