曲名,アーティスト名,正規化曲名,正規化アーティスト,曲キー,ジャンル,キー,歌唱回数,最初に歌った日,最後に歌った日,英語タイトル,備考
手をあわせて,茨むあん,手をあわせて,茨むあん,手をあわせて / 茨むあん,,,,2026/05/02,2026/05/02,,input.txtから追加
ユーフォリア,茨むあん,ユーフォリア,茨むあん,ユーフォリア / 茨むあん,,,,2026/05/02,2026/05/02,,input.txtから追加
天樂 双響,ゆうゆP,天樂 双響,ゆうゆP,天樂 双響 / ゆうゆP,,,,2026/05/12,2026/05/12,,input.txtから追加
ライカ,yamada,ライカ,yamada,ライカ / yamada,,,,2026/05/20,2026/05/20,,input.txtから追加
