配信日,開始時刻,歌枠URL,枠タイトル,曲順,曲名,アーティスト名,キー,ジャンル,セトリ原文,タイムスタンプ,確認状態,備考,正規化曲名,正規化アーティスト,曲キー,重複チェック,D1投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,1,ヒバナ,DECO*27,,,01. ヒバナ[Hibana] / DECO*27,0:06:36,確認済み,,ヒバナ,DECO*27,ヒバナ / DECO*27,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,2,ゴーストルール,DECO*27,,,02. ゴーストルール[Ghost Rule] / DECO*27,0:14:05,確認済み,,ゴーストルール,DECO*27,ゴーストルール / DECO*27,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,3,Alice in 冷凍庫,Orangestar,,,03. Alice in 冷凍庫[Alice in Reitouko] / Orangestar,0:23:09,確認済み,,Alice in 冷凍庫,Orangestar,Alice in 冷凍庫 / Orangestar,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,4,グッバイ宣言,Chinozo,,,04. グッバイ宣言[Goodbye Sengen] / Chinozo,0:32:38,確認済み,,グッバイ宣言,Chinozo,グッバイ宣言 / Chinozo,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,5,フリージア,Uru,,,05. フリージア[Freesia] / Uru,0:38:27,確認済み,,フリージア,Uru,フリージア / Uru,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,6,雨とカプチーノ,ヨルシカ,,,06. 雨とカプチーノ[Ame to Kapuchiino] / ヨルシカ,0:47:17,確認済み,,雨とカプチーノ,ヨルシカ,雨とカプチーノ / ヨルシカ,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,7,ヴァンパイア,DECO*27,,,07. ヴァンパイア[Vampire] / DECO*27,0:55:44,確認済み,,ヴァンパイア,DECO*27,ヴァンパイア / DECO*27,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,8,命に嫌われている。,カンザキイオリ,,,08. 命に嫌われている。[Inochi ni Kirawarete iru.] / カンザキイオリ,1:04:15,確認済み,,命に嫌われている。,カンザキイオリ,命に嫌われている。 / カンザキイオリ,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,9,愛に出会い恋は続く,HoneyWorks meets スフィア,,,09. 愛に出会い恋は続く[Ai Ni Deai Koi Wa Tsuzuku] / HoneyWorks meets スフィア,1:14:09,確認済み,,愛に出会い恋は続く,HoneyWorks meets スフィア,愛に出会い恋は続く / HoneyWorks meets スフィア,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,10,心に穴が空いた,ヨルシカ,,,10. 心に穴が空いた[Kokoro ni ana ga aita] / ヨルシカ,1:22:39,確認済み,,心に穴が空いた,ヨルシカ,心に穴が空いた / ヨルシカ,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,11,春泥棒,ヨルシカ,,,11. 春泥棒[Haru dorobou] / ヨルシカ,1:31:34,確認済み,,春泥棒,ヨルシカ,春泥棒 / ヨルシカ,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,12,病名恋ワズライ,HoneyWorks,,,12. 病名恋ワズライ[Byoumei Koi Wazurai] / HoneyWorks,1:43:23,確認済み,,病名恋ワズライ,HoneyWorks,病名恋ワズライ / HoneyWorks,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,13,インドア系ならトラックメイカー,Yunomi & nicamoq,,,13. インドア系ならトラックメイカー[Indoor Kei nara Track Maker] / Yunomi & nicamoq,1:52:14,確認済み,,インドア系ならトラックメイカー,Yunomi & nicamoq,インドア系ならトラックメイカー / Yunomi & nicamoq,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,14,ヴィラン,てにをは,,,14. ヴィラン[Villain] / てにをは,1:58:23,確認済み,,ヴィラン,てにをは,ヴィラン / てにをは,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,15,ゴシップ,OSTER project,,,15. ゴシップ[Gossip] / OSTER project,2:04:19,確認済み,,ゴシップ,OSTER project,ゴシップ / OSTER project,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,16,ECHO,Crusher-P,,,16. ECHO / Crusher-P,2:21:52,確認済み,,ECHO,Crusher-P,ECHO / Crusher-P,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,17,ファンサ,HoneyWorks feat. mona(夏川椎菜),,,17. ファンサ[Fansa] / HoneyWorks feat. mona(夏川椎菜),2:33:01,確認済み,,ファンサ,HoneyWorks feat. mona(夏川椎菜),ファンサ / HoneyWorks feat. mona(夏川椎菜),,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,18,ANIMA,ReoNa,,,01. ANIMA / ReoNa,0:09:40,確認済み,(アカペラ),ANIMA,ReoNa,ANIMA / ReoNa,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,19,ANIMA,ReoNa,,,02. ANIMA / ReoNa,0:11:26,確認済み,(アカペラ),ANIMA,ReoNa,ANIMA / ReoNa,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,20,ANIMA,ReoNa,,,03. ANIMA / ReoNa,0:12:33,確認済み,,ANIMA,ReoNa,ANIMA / ReoNa,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,21,恋,星野源,,,04. 恋[Koi] / 星野源,0:20:13,確認済み,,恋,星野源,恋 / 星野源,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,22,Henceforth,Orangestar,,,05. Henceforth / Orangestar,0:28:21,確認済み,,Henceforth,Orangestar,Henceforth / Orangestar,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,23,群青,YOASOBI,,,06. 群青[Gunjou] / YOASOBI,0:35:30,確認済み,,群青,YOASOBI,群青 / YOASOBI,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,24,白い雪のプリンセスは,のぼる↑,,,07. 白い雪のプリンセスは[Shiroi Yuki no Purinsesu wa] / のぼる↑,0:43:47,確認済み,,白い雪のプリンセスは,のぼる↑,白い雪のプリンセスは / のぼる↑,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,25,高嶺の花子さん,back number,,,08. 高嶺の花子さん[Takane no Hanako-san] / back number,0:53:43,確認済み,,高嶺の花子さん,back number,高嶺の花子さん / back number,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,26,命のユースティティア,Neru,,,09. 命のユースティティア[Inochi no Justitia] / Neru,1:03:54,確認済み,,命のユースティティア,Neru,命のユースティティア / Neru,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,27,四季折々に揺蕩いて,After the Rain,,,10. 四季折々に揺蕩いて[Shiki oriori ni  Tayuta ite] / After the Rain,1:11:31,確認済み,,四季折々に揺蕩いて,After the Rain,四季折々に揺蕩いて / After the Rain,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,28,レッド・パージ！！！,P.I.N.A.,,,11. レッド・パージ！！！[Red Purge!!!] / P.I.N.A.,1:24:42,確認済み,,レッド・パージ！！！,P.I.N.A.,レッド・パージ！！！ / P.I.N.A.,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,29,トラフィック・ジャム,煮ル果実,,,12. トラフィック・ジャム[Traffic Jam] / 煮ル果実,1:32:10,確認済み,,トラフィック・ジャム,煮ル果実,トラフィック・ジャム / 煮ル果実,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,30,シル・ヴ・プレジデント,P丸様。,,,13. シル・ヴ・プレジデント[S'il Vous President] / P丸様。,1:43:06,確認済み,,シル・ヴ・プレジデント,P丸様。,シル・ヴ・プレジデント / P丸様。,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,31,パレード,ヨルシカ,,,14. パレード[Parade] / ヨルシカ,1:48:29,確認済み,,パレード,ヨルシカ,パレード / ヨルシカ,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,32,カブトムシ,aiko,,,15. カブトムシ[Kabutomushi] / aiko,1:57:10,確認済み,,カブトムシ,aiko,カブトムシ / aiko,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,33,オリビアを聴きながら,杏里,,,16. オリビアを聴きながら[Olivia o kikinagara] / 杏里,2:08:15,確認済み,,オリビアを聴きながら,杏里,オリビアを聴きながら / 杏里,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,34,愛唄,GReeeeN,,,17. 愛唄[Aiuta] / GReeeeN,2:17:44,確認済み,,愛唄,GReeeeN,愛唄 / GReeeeN,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,35,青春アミーゴ,修二と彰,,,18. 青春アミーゴ[Seishun Amigo] / 修二と彰,2:25:04,確認済み,,青春アミーゴ,修二と彰,青春アミーゴ / 修二と彰,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,36,チョコレイト・ディスコ,Perfume,,,19. チョコレイト・ディスコ[Chocolate Disco] / Perfume,2:37:07,確認済み,,チョコレイト・ディスコ,Perfume,チョコレイト・ディスコ / Perfume,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,37,つけまつける,きゃりーぱみゅぱみゅ,,,20. つけまつける[Tsukematsukeru] / きゃりーぱみゅぱみゅ,2:43:50,確認済み,,つけまつける,きゃりーぱみゅぱみゅ,つけまつける / きゃりーぱみゅぱみゅ,,未投入
2021/05/28,,https://www.youtube.com/watch?v=9s3u3eS1sZw,【第二回 定期歌枠】たくさん歌お！singing！【茨むあん/新人VTuber】,38,ロキ,みきとP,,,21. ロキ[Loki] / みきとP,2:54:32,確認済み,,ロキ,みきとP,ロキ / みきとP,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,39,ベノム,かいりきベア,,,01. ベノム[Venom] / かいりきベア,0:03:24,確認済み,,ベノム,かいりきベア,ベノム / かいりきベア,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,40,レディメイド,Ado,,,02. レディメイド[Ready Made] / Ado,0:06:43,確認済み,,レディメイド,Ado,レディメイド / Ado,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,41,残酷な天使のテーゼ,高橋洋子,,,03. 残酷な天使のテーゼ[A Cruel Angel's Thesis] / 高橋洋子,0:17:02,確認済み,,残酷な天使のテーゼ,高橋洋子,残酷な天使のテーゼ / 高橋洋子,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,42,unravel,TK from 凛として時雨,,,04. unravel / TK from 凛として時雨,0:25:25,確認済み,,unravel,TK from 凛として時雨,unravel / TK from 凛として時雨,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,43,嘘,シド,,,05. 嘘[Uso] / シド,0:34:16,確認済み,,嘘,シド,嘘 / シド,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,44,夏祭り,JITTERIN'JINN,,,06. 夏祭り[Natsu matsuri] / JITTERIN'JINN,0:42:11,確認済み,,夏祭り,JITTERIN'JINN,夏祭り / JITTERIN'JINN,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,45,Henceforth,Orangestar,,,07. Henceforth / Orangestar,0:50:45,確認済み,,Henceforth,Orangestar,Henceforth / Orangestar,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,46,東京サマーセッション,HoneyWorks,,,08. 東京サマーセッション[Tokyo Summer Session] / HoneyWorks,0:58:39,確認済み,,東京サマーセッション,HoneyWorks,東京サマーセッション / HoneyWorks,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,47,林檎売りの泡沫少女,yukkedoluce,,,09. 林檎売りの泡沫少女[Ringo uri no Utakata Shoujo] / yukkedoluce,1:06:00,確認済み,,林檎売りの泡沫少女,yukkedoluce,林檎売りの泡沫少女 / yukkedoluce,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,48,マカロン,ATOLS,,,10. マカロン[Macaron] / ATOLS,1:15:52,確認済み,,マカロン,ATOLS,マカロン / ATOLS,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,49,失楽ペトリ,ナナホシ管弦楽団,,,11. 失楽ペトリ[Shitsuraku Petri] / ナナホシ管弦楽団,1:19:11,確認済み,,失楽ペトリ,ナナホシ管弦楽団,失楽ペトリ / ナナホシ管弦楽団,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,50,ダダダダ天使,ナナヲアカリ,,,12. ダダダダ天使[Dadadada Tenshi] / ナナヲアカリ,1:22:36,確認済み,,ダダダダ天使,ナナヲアカリ,ダダダダ天使 / ナナヲアカリ,,未投入
2021/06/11,,https://www.youtube.com/watch?v=t1pKPxLlrO0,【歌枠】第４回！定期歌枠！singing！【茨むあん/新人VTuber】,51,テオ,Omoi,,,13. テオ[Teo] / Omoi,1:29:42,確認済み,,テオ,Omoi,テオ / Omoi,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,52,シャルル,バルーン,,,01. シャルル[Charles] / バルーン,0:11:15,確認済み,,シャルル,バルーン,シャルル / バルーン,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,53,花瓶に触れた,バルーン,,,02. 花瓶に触れた[Kabin ni fureta] / バルーン,0:12:39,確認済み,,花瓶に触れた,バルーン,花瓶に触れた / バルーン,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,54,メーベル,バルーン,,,03. メーベル[Mabel] / バルーン,0:14:05,確認済み,,メーベル,バルーン,メーベル / バルーン,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,55,レディーレ,バルーン,,,04. レディーレ[Redire] / バルーン,0:15:12,確認済み,,レディーレ,バルーン,レディーレ / バルーン,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,56,幽霊東京,Ayase,,,05. 幽霊東京[Ghost City Tokyo] / Ayase,0:16:30,確認済み,,幽霊東京,Ayase,幽霊東京 / Ayase,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,57,独りんぼエンヴィー,koyori(電ポルP),,,06. 独りんぼエンヴィー[Hitorinbo Envy] / koyori(電ポルP),0:18:05,確認済み,,独りんぼエンヴィー,koyori(電ポルP),独りんぼエンヴィー / koyori(電ポルP),,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,58,絶え間なく藍色,獅子志司,,,07. 絶え間なく藍色[Taemanaku Aiiro] / 獅子志司,0:19:13,確認済み,,絶え間なく藍色,獅子志司,絶え間なく藍色 / 獅子志司,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,59,チョコレートミルク,あぷえら,,,08. チョコレートミルク[Chocolate Milk] / あぷえら,0:20:38,確認済み,,チョコレートミルク,あぷえら,チョコレートミルク / あぷえら,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,60,トリノコシティ,40mP,,,09. トリノコシティ[Torinoko City] / 40mP,0:21:27,確認済み,,トリノコシティ,40mP,トリノコシティ / 40mP,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,61,夜もすがら君想ふ,TOKOTOKO(西沢さんP),,,10. 夜もすがら君想ふ[Yomosugara Kimi Omou] / TOKOTOKO(西沢さんP),0:22:50,確認済み,,夜もすがら君想ふ,TOKOTOKO(西沢さんP),夜もすがら君想ふ / TOKOTOKO(西沢さんP),,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,62,サリシノハラ,みきとP,,,11. サリシノハラ[Sarishinohara] / みきとP,0:24:13,確認済み,,サリシノハラ,みきとP,サリシノハラ / みきとP,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,63,うそつき,めざめP,,,12. うそつき[Usotsuki] / めざめP,0:25:40,確認済み,,うそつき,めざめP,うそつき / めざめP,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,64,セツナトリップ,Last Note.,,,13. セツナトリップ[Setsuna Trip] / Last Note.,0:29:31,確認済み,,セツナトリップ,Last Note.,セツナトリップ / Last Note.,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,65,ガランド,ピコン,,,14. ガランド[Garando] / ピコン,0:31:25,確認済み,,ガランド,ピコン,ガランド / ピコン,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,66,嗤うマネキン,みやけ（ナポリP）,,,15. 嗤うマネキン[Warau Mannequin] / みやけ（ナポリP）,0:32:47,確認済み,,嗤うマネキン,みやけ（ナポリP）,嗤うマネキン / みやけ（ナポリP）,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,67,二息歩行,DECO*27,,,16. 二息歩行[Nisoku hokou] / DECO*27,0:41:34,確認済み,,二息歩行,DECO*27,二息歩行 / DECO*27,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,68,ウミユリ海底譚,n-buna,,,17. ウミユリ海底譚[Umiyuri Kaiteitan] / n-buna,0:42:41,確認済み,,ウミユリ海底譚,n-buna,ウミユリ海底譚 / n-buna,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,69,シリョクケンサ,40mP,,,18. シリョクケンサ[Shiryoku Kensa] / 40mP,0:44:02,確認済み,,シリョクケンサ,40mP,シリョクケンサ / 40mP,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,70,愛迷エレジー,DECO*27,,,19. 愛迷エレジー[Aimai Elegy] / DECO*27,0:45:40,確認済み,,愛迷エレジー,DECO*27,愛迷エレジー / DECO*27,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,71,スイートマジック,Junky,,,20. スイートマジック[Sweet Magic] / Junky,0:47:05,確認済み,,スイートマジック,Junky,スイートマジック / Junky,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,72,Mrs.Pumpkinの滑稽な夢,ハチ,,,21. Mrs.Pumpkinの滑稽な夢[Mrs. Pumpkin no Kokkei na Yume] / ハチ,0:48:50,確認済み,,Mrs.Pumpkinの滑稽な夢,ハチ,Mrs.Pumpkinの滑稽な夢 / ハチ,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,73,イドラのサーカス,Neru,,,22. イドラのサーカス[Idola no Circus] / Neru,0:50:03,確認済み,,イドラのサーカス,Neru,イドラのサーカス / Neru,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,74,カンタレラ,黒うさP,,,23. カンタレラ[Cantarella] / 黒うさP,0:51:44,確認済み,,カンタレラ,黒うさP,カンタレラ / 黒うさP,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,75,再教育,Neru,,,24. 再教育[Sai Kyouiku] / Neru,0:52:50,確認済み,,再教育,Neru,再教育 / Neru,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,76,バイオレンストリガー,八王子P,,,25. バイオレンストリガー[Violence Trigger] / 八王子P,0:54:31,確認済み,,バイオレンストリガー,八王子P,バイオレンストリガー / 八王子P,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,77,夕景イエスタデイ,じん,,,26. 夕景イエスタデイ[Yuukei yesterday] / じん,0:55:47,確認済み,,夕景イエスタデイ,じん,夕景イエスタデイ / じん,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,78,空想フォレスト,じん,,,27. 空想フォレスト[Kuusou Forest] / じん,0:57:20,確認済み,,空想フォレスト,じん,空想フォレスト / じん,,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,79,スキスキ絶頂症,koyori(電ポルP),,,28. スキスキ絶頂症[Suki Suki Zecchou Shou] / koyori(電ポルP),0:58:53,確認済み,,スキスキ絶頂症,koyori(電ポルP),スキスキ絶頂症 / koyori(電ポルP),,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,80,Booo!,TOKOTOKO(西沢さんP),,,29. Booo! / TOKOTOKO(西沢さんP),1:00:05,確認済み,,Booo!,TOKOTOKO(西沢さんP),Booo! / TOKOTOKO(西沢さんP),,未投入
2021/06/18,,https://www.youtube.com/watch?v=TZnxIV8-Lvk,【ボカロ100曲耐久歌枠】BGMになりますのん【茨むあん/新人VTuber】ワンコーラス,81,恋愛裁判,40mP,,,30. 恋愛裁判[Ren'ai Saiban] / 40mP,1:01:12,確認済み,,恋愛裁判,40mP,恋愛裁判 / 40mP,,未投入
